t,mode,lf_0,lf_1,lf_2,rf_0,rf_1,rf_2,lb_0,lb_1,lb_2,rb_0,rb_1,rb_2,lf_fx,lf_fy,lf_fz,rf_fx,rf_fy,rf_fz,lb_fx,lb_fy,lb_fz,rb_fx,rb_fy,rb_fz
20912.2,1,0.062483,0.997695,-0.275993,-0.0622599,-0.954952,0.230913,-0.0627641,0.950669,-0.282692,0.0624977,-0.947444,0.276527,0,0,-20.954,0,0,-20.4338,0,0,-29.5662,0,0,-29.046
20916.1,1,0.062441,0.99713,-0.27498,-0.0622129,-0.954315,0.229769,-0.0627133,0.950034,-0.281481,0.0624489,-0.946827,0.27535,0,0,-20.7862,0,0,-20.6034,0,0,-29.3966,0,0,-29.2138
20919.9,1,0.0624007,0.996588,-0.274005,-0.062164,-0.953653,0.228578,-0.0626646,0.949422,-0.280314,0.0624011,-0.946221,0.274193,0,0,-21.0274,0,0,-20.34,0,0,-29.66,0,0,-28.9726
20923.8,1,0.0623604,0.996045,-0.273029,-0.0621152,-0.95299,0.227386,-0.0626178,0.948835,-0.279193,0.0623546,-0.945631,0.273068,0,0,-21.1963,0,0,-20.1445,0,0,-29.8555,0,0,-28.8037
20928,1,0.0623182,0.995477,-0.272008,-0.0620685,-0.952353,0.226239,-0.062573,0.948271,-0.278118,0.0623102,-0.945066,0.271989,0,0,-21.1713,0,0,-20.161,0,0,-29.839,0,0,-28.8287
20932,1,0.0622742,0.994882,-0.27094,-0.0620237,-0.951741,0.225139,-0.0625303,0.947731,-0.277088,0.0622677,-0.944524,0.270955,0,0,-20.8758,0,0,-20.4148,0,0,-29.5852,0,0,-29.1242
20936,1,0.0622303,0.994288,-0.269871,-0.0619789,-0.951129,0.224037,-0.0624894,0.947216,-0.276104,0.0622252,-0.943983,0.269922,0,0,-20.7152,0,0,-20.5602,0,0,-29.4398,0,0,-29.2848
20939.9,1,0.0621884,0.993719,-0.268847,-0.0619323,-0.950491,0.22289,-0.0624506,0.946724,-0.275165,0.0621809,-0.943417,0.268842,0,0,-20.8676,0,0,-20.3968,0,0,-29.6032,0,0,-29.1324
20943.9,1,0.0621465,0.993149,-0.267824,-0.0618858,-0.949853,0.221741,-0.0624119,0.946234,-0.27423,0.0621366,-0.942851,0.267761,0,0,-21.1897,0,0,-20.0495,0,0,-29.9505,0,0,-28.8103
20948.1,1,0.0621027,0.992554,-0.266754,-0.0618412,-0.94924,0.220638,-0.0623714,0.945721,-0.273251,0.0620944,-0.942309,0.266725,0,0,-21.2443,0,0,-20.0165,0,0,-29.9835,0,0,-28.7557
20952,1,0.0620571,0.991933,-0.265637,-0.0617979,-0.948644,0.219564,-0.062331,0.945208,-0.272272,0.0620541,-0.94179,0.265736,0,0,-20.8286,0,0,-20.4139,0,0,-29.5861,0,0,-29.1714
20955.8,1,0.0620116,0.991312,-0.264519,-0.0617539,-0.948038,0.218473,-0.0622926,0.944718,-0.271338,0.0620141,-0.941276,0.264754,0,0,-20.5744,0,0,-20.6814,0,0,-29.3186,0,0,-29.4256
